V;M;S;Frac
36;0;9;0
38;0;10;58
40;0;12;56
40;0;14;54
40;0;16;52
40;0;18;52
40;0;20;48
44;0;22;46
48;0;24;44
54;0;26;40
59;0;28;38
64;0;30;36
66;0;32;34
69;0;34;34
70;0;36;32
70;0;38;30
70;0;40;28
70;0;42;24
70;0;44;22
70;0;46;24
70;0;48;22
70;0;50;20
70;0;52;18
70;0;54;16
70;0;56;14
70;0;58;12
70;1;0;12
69;1;2;10
62;1;4;8
55;1;6;6
50;1;8;4
50;1;10;2
50;1;12;0
50;1;13;58
50;1;15;56
50;1;17;52
53;1;19;52
56;1;21;50
58;1;23;48
61;1;25;44
64;1;27;44
67;1;29;44
68;1;31;42
71;1;33;38
72;1;35;36
78;1;37;34
80;1;39;32
83;1;41;30
85;1;43;28
87;1;45;26
88;1;47;24
89;1;49;22
90;1;51;18
90;1;53;18
90;1;55;18
90;1;57;14
90;1;59;10
96;2;1;14
99;2;3;12
99;2;5;10
100;2;7;6
100;2;9;4
100;2;11;2
100;2;13;0
